ship_mode,segment,country,city,state,Postal_Code,region,category,sub_category, Sales ,Quantity,Discount,Profit
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders, 16.74 ,3,0%,8.0352
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art, 14.90 ,5,0%,4.172
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage, 21.39 ,1,0%,6.2031
Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes, 200.98 ,7,20%,62.8075
First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage, 230.38 ,3,20%,-48.9549
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs, 301.96 ,2,0%,33.2156
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories, 19.99 ,1,0%,6.7966
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels, 6.16 ,2,0%,2.9568
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage, 158.37 ,7,20%,13.8572
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art, 20.10 ,3,0%,6.633
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones, 73.58 ,2,20%,8.2782
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper, 6.48 ,1,0%,3.1104
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper, 12.96 ,2,0%,6.2208
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings, 53.34 ,3,0%,16.5354
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders, 32.96 ,2,0%,16.1504
Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders, 5.68 ,1,70%,-3.788
Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings, 96.53 ,7,0%,40.5426
First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders, 51.31 ,3,20%,17.9592
Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances, 77.88 ,6,0%,22.5852
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper, 64.62 ,7,20%,22.6184
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories, 95.98 ,3,20%,-10.7973
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders, 1.79 ,3,80%,-3.0396
Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper, 23.92 ,4,0%,11.7208
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories, 238.90 ,6,20%,-26.8758
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings, 102.36 ,3,20%,-3.8385
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders, 36.88 ,3,70%,-25.8174
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories, 74.11 ,8,20%,17.6016
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones, 27.99 ,1,20%,2.0994
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art, 3.30 ,1,20%,1.0738
Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories, 339.96 ,5,20%,67.992
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings, 41.96 ,2,0%,10.9096
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art, 75.96 ,2,0%,22.788
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders, 27.24 ,6,0%,13.3476
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners, 40.10 ,14,20%,14.5348
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes, 4.72 ,2,20%,1.652
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper, 23.98 ,3,20%,7.4925
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes, 130.46 ,6,20%,44.0316
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables, 787.53 ,3,0%,165.3813
Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders, 157.79 ,1,70%,-115.7156
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings, 47.04 ,3,0%,18.3456
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders, 30.84 ,4,0%,13.878
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage, 226.56 ,6,0%,63.4368
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes, 115.02 ,9,0%,51.759
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones, 68.04 ,7,0%,19.7316
Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs, 600.56 ,3,30%,-8.5794
Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables, 617.70 ,6,50%,-407.682
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders, 2.39 ,2,70%,-1.8308
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage, 243.99 ,7,20%,30.499
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs, 81.42 ,2,20%,-9.1602
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings, 238.56 ,3,0%,26.2416
First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones, 59.97 ,5,40%,-11.994
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper, 78.30 ,2,20%,29.364
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners, 21.46 ,9,20%,6.9732
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper, 20.04 ,3,0%,9.6192
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper, 35.44 ,1,0%,16.6568
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art, 11.52 ,4,0%,3.456
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners, 4.02 ,2,0%,1.9698
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders, 76.18 ,3,20%,26.6616
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies, 65.88 ,6,0%,18.4464
Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings, 43.12 ,14,0%,20.6976
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings, 82.80 ,2,20%,10.35
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art, 8.82 ,3,0%,2.3814
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes, 10.86 ,3,0%,5.1042
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper, 143.70 ,3,0%,68.976
Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances, 839.43 ,3,0%,218.2518
Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage, 671.93 ,7,0%,20.1579
Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings, 93.89 ,4,20%,12.9096
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones, 384.45 ,11,0%,103.8015
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones, 149.97 ,3,0%,5.9988
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs," 1,951.84 ",8,0%,585.552
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders, 171.55 ,5,0%,80.6285
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances, 157.92 ,5,20%,17.766
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones, 203.18 ,2,20%,15.2388
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper, 58.38 ,7,0%,26.271
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper, 105.52 ,4,0%,48.5392
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage, 80.88 ,6,0%,21.0288
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art, 6.63 ,3,0%,1.7901
Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs, 457.57 ,2,20%,51.4764
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels, 14.62 ,2,0%,6.8714
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones, 944.93 ,7,0%,236.2325
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper, 5.98 ,1,0%,2.691
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories, 54.38 ,2,20%,1.3596
Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes, 28.40 ,5,0%,13.348
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders, 27.68 ,2,20%,9.688
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art, 9.94 ,3,20%,2.7324
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines," 8,159.95 ",8,40%,-1359.992
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage, 275.93 ,3,20%,-58.6347
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs," 1,740.06 ",9,30%,-24.858
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art, 32.06 ,6,20%,6.8136
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances, 177.98 ,5,80%,-453.849
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Phones, 143.98 ,3,20%,8.9985
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper, 20.94 ,3,0%,9.8418
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper, 110.96 ,2,0%,53.2608
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Chairs, 340.14 ,7,20%,21.259
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances, 52.45 ,2,80%,-131.12
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Labels, 20.16 ,4,20%,6.552
Second Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances, 97.26 ,4,80%,-243.16
Second Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,Chairs, 396.80 ,7,30%,-11.3372
Second Class,Consumer,United States,Newark,Ohio,43055,East,Office Supplies,Supplies, 15.88 ,5,20%,-3.7715
Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Art, 3.28 ,1,0%,1.4104
Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Office Supplies,Storage, 24.82 ,2,20%,1.8612
Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Technology,Accessories, 408.74 ,7,20%,76.6395
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones, 503.96 ,4,0%,131.0296
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones, 149.95 ,5,0%,41.986
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Accessories, 29.00 ,2,0%,7.25
Standard Class,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Binders, 7.16 ,2,0%,3.4368
Standard Class,Home Office,United States,Los Angeles,California,90032,West,Technology,Accessories, 176.80 ,8,0%,22.984
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Storage, 37.22 ,3,20%,3.7224
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Paper, 20.02 ,3,20%,6.255
First Class,Home Office,United States,New York City,New York,10035,East,Furniture,Bookcases, 899.14 ,4,20%,112.392
First Class,Home Office,United States,New York City,New York,10035,East,Technology,Phones, 71.76 ,6,0%,20.0928
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Paper, 51.84 ,8,0%,24.8832
First Class,Home Office,United States,New York City,New York,10035,East,Furniture,Bookcases, 626.35 ,3,20%,46.9764
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Art, 19.90 ,5,0%,6.567
Standard Class,Corporate,United States,Redlands,California,92374,West,Office Supplies,Envelopes, 14.28 ,7,0%,6.7116
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,Art, 7.41 ,2,20%,1.2038
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,Art, 6.05 ,3,20%,1.5876
Standard Class,Home Office,United States,Westfield,New Jersey,7090,East,Office Supplies,Storage, 46.26 ,3,0%,12.0276
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders, 2.95 ,2,70%,-2.2586
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper, 16.06 ,3,20%,5.8203
Standard Class,Consumer,United States,Akron,Ohio,44312,East,Office Supplies,Paper, 21.74 ,3,20%,6.795
First Class,Consumer,United States,Denver,Colorado,80219,West,Furniture,Tables, 218.75 ,2,50%,-161.875
First Class,Consumer,United States,Denver,Colorado,80219,West,Office Supplies,Appliances, 2.60 ,1,20%,0.2925
Second Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances, 66.28 ,2,80%,-178.9668
Standard Class,Corporate,United States,Franklin,Tennessee,37064,South,Furniture,Furnishings, 35.17 ,7,20%,9.6712
Standard Class,Consumer,United States,Whittier,California,90604,West,Technology,Phones, 444.77 ,4,20%,44.4768
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Storage, 83.92 ,4,0%,5.8744
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Technology,Phones, 131.98 ,2,0%,35.6346
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Binders, 15.92 ,4,0%,7.4824
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Fasteners, 52.29 ,9,0%,16.2099
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Storage, 91.99 ,1,0%,3.6796
Second Class,Corporate,United States,Dallas,Texas,75220,Central,Technology,Accessories, 20.80 ,2,20%,6.5
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Office Supplies,Labels, 23.68 ,2,20%,8.88
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Furniture,Bookcases, 452.45 ,5,50%,-244.323
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Technology,Phones, 62.98 ,3,40%,-14.6958
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Technology,Machines," 1,188.00 ",9,70%,-950.4
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Technology,Accessories, 89.58 ,2,20%,4.4792
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Storage, 93.06 ,6,0%,26.0568
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones, 302.38 ,3,20%,22.6782
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Fasteners, 5.58 ,2,20%,1.8148
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Paper, 22.70 ,6,20%,8.2302
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Binders, 19.78 ,4,70%,-13.8432
First Class,Consumer,United States,Dublin,Ohio,43017,East,Furniture,Furnishings, 72.70 ,4,20%,19.0848
First Class,Consumer,United States,Dublin,Ohio,43017,East,Technology,Machines, 479.99 ,4,70%,-383.9904
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Art, 27.17 ,2,20%,2.7168
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Office Supplies,Art, 2.20 ,1,0%,0.968
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Furniture,Tables, 622.45 ,5,0%,136.939
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Office Supplies,Storage, 21.98 ,1,0%,0.2198
Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Furniture,Chairs, 161.57 ,2,20%,-28.2744
Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Furniture,Chairs, 389.70 ,8,20%,43.8408
Standard Class,Corporate,United States,Charlotte,North Carolina,28205,South,Office Supplies,Binders, 18.65 ,7,70%,-12.432
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Furniture,Tables, 233.86 ,2,45%,-102.048
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Furniture,Tables, 620.61 ,3,45%,-248.2458
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Office Supplies,Binders, 5.33 ,2,70%,-3.552
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Furniture,Furnishings, 258.07 ,3,20%,0
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Technology,Accessories, 617.98 ,3,20%,-7.7247
Standard Class,Corporate,United States,Santa Clara,California,95051,West,Office Supplies,Paper, 10.56 ,2,0%,4.752
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper, 25.92 ,5,20%,9.396
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings, 419.68 ,5,60%,-356.728
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings, 11.69 ,3,60%,-4.6752
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Technology,Phones, 31.98 ,2,20%,11.1944
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Tables, 177.23 ,5,50%,-120.513
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings, 4.04 ,3,60%,-2.8308
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Art, 7.41 ,2,20%,1.2038
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Furniture,Chairs," 2,001.86 ",7,0%,580.5394
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Storage, 166.72 ,2,0%,41.68
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Paper, 47.88 ,6,0%,23.94
